name,heat,wet_bulb,farm_crop_yields,sea_level_rise,wildfires,economic_damages,id,year,unemployment_rate,total_risk,state
"Pinal County, AZ",10,6,8,1,6,7,04021,2017,5.0,38,AZ
"Graham County, AZ",10,2,8,1,8,6,04009,2017,5.4,35,AZ
"Willacy County, TX",10,4,10,4,1,7,48489,2017,11.0,36,TX
"Mohave County, AZ",10,6,1,1,9,7,04015,2017,5.9,34,AZ
"Starr County, TX",10,6,10,1,1,6,48427,2017,11.8,34,TX
"Webb County, TX",10,7,10,1,1,5,48479,2017,4.2,34,TX
"Maricopa County, AZ",10,7,8,1,1,6,04013,2017,4.2,33,AZ
"Yuma County, AZ",10,7,8,1,1,6,04027,2017,17.0,33,AZ
"Hidalgo County, TX",10,5,8,1,1,7,48215,2017,7.5,32,TX
"Imperial County, CA",10,7,8,1,1,5,06025,2017,19.5,32,CA
"Dimmit County, TX",10,5,10,1,1,5,48127,2017,5.1,32,TX
"Llano County, TX",10,4,10,1,2,5,48299,2017,3.8,32,TX
"Zavala County, TX",10,5,10,1,1,5,48507,2017,11.2,32,TX
"Atascosa County, TX",10,4,10,1,1,5,48013,2017,4.3,31,TX
"DeWitt County, TX",10,4,10,1,1,5,48123,2017,4.4,31,TX
"Kinney County, TX",10,5,9,1,1,5,48271,2017,5.6,31,TX
"Reagan County, TX",10,4,8,1,3,5,48383,2017,3.8,31,TX
"Riverside County, CA",10,6,8,1,1,5,06065,2017,5.2,31,CA
"La Salle County, TX",10,2,10,1,1,5,48283,2017,3.7,29,TX
"San Bernardino County, CA",10,5,8,1,1,5,06071,2017,4.9,30,CA
"Gila County, AZ",10,5,1,1,7,5,04007,2017,6.1,29,AZ
"Frio County, TX",10,2,8,1,1,5,48163,2017,3.9,27,TX
"Pima County, AZ",10,2,1,1,7,6,04019,2017,4.5,27,AZ
"La Paz County, AZ",10,7,1,1,1,7,04012,2017,5.4,27,AZ
"Terrell County, TX",10,5,1,1,6,5,48443,2017,4.6,28,TX
"Duval County, TX",10,5,1,1,1,8,48131,2017,7.7,26,TX
"Presidio County, TX",10,6,1,1,4,5,48377,2017,9.4,27,TX
"Val Verde County, TX",10,5,1,1,5,5,48465,2017,5.1,27,TX
"Brooks County, TX",10,5,1,1,1,7,48047,2017,8.3,25,TX
"Edwards County, TX",10,5,1,1,3,5,48137,2017,3.2,25,TX
"Jim Hogg County, TX",10,5,1,1,1,6,48247,2017,7.3,24,TX
"Clark County, NV",10,6,1,1,1,5,32003,2017,5.3,24,NV
"Loving County, TX",10,4,1,1,3,5,48301,2017,5.0,24,TX
"Martin County, TX",10,4,1,1,3,5,48317,2017,3.2,24,TX
"Midland County, TX",10,4,1,1,3,5,48329,2017,3.0,24,TX
"Ward County, TX",10,4,1,1,3,5,48475,2017,4.0,24,TX
"Winkler County, TX",10,4,1,1,3,5,48495,2017,5.1,24,TX
